log.prior	log.likelihood	log.likelihood.test.set
-1.395413702607773985e+03 -7.065302488727636501e+02 -4.222333432066702130e+01
-1.400741854902486921e+03 -7.070538431018999290e+02 -4.228865140224772290e+01
-1.401291556581239320e+03 -7.026226519801061841e+02 -4.321329689911982541e+01
-1.392874536052464464e+03 -7.041541257732239956e+02 -4.278505022684470305e+01
-1.381560551084359304e+03 -7.070112263178036756e+02 -4.252450607747482536e+01
-1.394364287077401741e+03 -7.082460668261393266e+02 -4.229331085859951145e+01
-1.408277817597011335e+03 -7.076086302492726645e+02 -4.221745440995979948e+01
-1.417878823437707069e+03 -7.089471137574552131e+02 -4.270627666993388516e+01
-1.405096929443140652e+03 -7.090558226151082408e+02 -4.353728978469143840e+01
-1.385822096325986877e+03 -7.057056511693061793e+02 -4.355193723163441177e+01
-1.384043395191270520e+03 -7.036803263718794597e+02 -4.384964962203528671e+01
-1.383000240462401507e+03 -7.049284969166985775e+02 -4.325046464300316984e+01
-1.373352201612337240e+03 -7.021728188726265216e+02 -4.287513672570827339e+01
-1.373899453347163671e+03 -7.028556814331632268e+02 -4.326529131772969095e+01
-1.382754236567236603e+03 -7.019258284290351639e+02 -4.158815911446342284e+01
-1.370145044862822033e+03 -7.042417924493909140e+02 -4.162730172777978055e+01
-1.366210364369918125e+03 -7.054427711014625402e+02 -4.159591788120675915e+01
-1.362099846122476947e+03 -7.066826722455674599e+02 -4.091524347430208763e+01
-1.356254831046334857e+03 -7.113407019956349586e+02 -3.994794201236152276e+01
-1.357589973311105496e+03 -7.097407908992250896e+02 -3.963863753185748351e+01
-1.348792484846799425e+03 -7.122482860201729409e+02 -4.038970066894503930e+01
-1.360276098097079284e+03 -7.093791143662034528e+02 -4.024593323139734480e+01
-1.378159735833449531e+03 -7.125518542933268691e+02 -4.016756095160513951e+01
-1.368751244893085641e+03 -7.166722731424106314e+02 -3.950645423297177672e+01
-1.368303505187632254e+03 -7.122217776065810995e+02 -3.932037996024365611e+01
-1.384484581321625683e+03 -7.097999116627930789e+02 -4.005880394833741320e+01
-1.387559526890598818e+03 -7.094284165223159562e+02 -4.047516150059482243e+01
-1.395328589954591280e+03 -7.056507228503469378e+02 -4.013717903092049255e+01
-1.383318161338581376e+03 -7.090491899151616053e+02 -4.007411925223419757e+01
-1.389720609782753172e+03 -7.082680553730367592e+02 -3.983107865664783276e+01
-1.408244366308311783e+03 -7.091860660895558794e+02 -4.123498904626453054e+01
-1.393434057578303282e+03 -7.138039986921500031e+02 -4.120060594997784165e+01
-1.395088425694404577e+03 -7.117127761263328694e+02 -4.212706330033810787e+01
-1.397711157113245463e+03 -7.112923374695104712e+02 -4.276363794656660389e+01
