word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	
9.032103682594422978e+00 7.302240831289026346e+00 7.204286456916873860e+00 6.635446287637475571e+00 7.813168076279151997e+00 7.832889980639777150e+00 4.984692642294055176e+00
9.089452625070226333e+00 7.907113923176815717e+00 8.490333828830696206e+00 6.364807049141351314e+00 9.261282129974063082e+00 8.014631170846090669e+00 8.633667505302302203e+00
9.381034945756665522e+00 7.865421372722341431e+00 7.610440389349175661e+00 8.613033636714275687e+00 7.305204880265309342e+00 9.254938404865590940e+00 7.920117649408993543e+00
8.694437803728288117e+00 9.130470132038871256e+00 7.797202824349667161e+00 7.726403987298270160e+00 9.401360804792540549e+00 9.225898940377460278e+00 5.666608425276892902e+00
8.638964737703975771e+00 8.775934908026638226e+00 9.244495593054569582e+00 8.282068355617766997e+00 8.561821372582846479e+00 7.243239565068937402e+00 8.431581457050155493e+00
7.966440782281894784e+00 9.552481737240526627e+00 6.711285323572619532e+00 5.454384139045591162e+00 9.369659818271726337e+00 9.369622490279823523e+00 9.994983309436376473e+00
9.327423081937682880e+00 7.473466891077285013e+00 8.433747601751740319e+00 7.055635776007374460e+00 8.435521064908867217e+00 9.873762984779309804e+00 8.816653224596601390e+00
9.246230508436346085e+00 7.306843541457703317e+00 4.219826331140440701e+00 8.535032083779780621e+00 8.929675031199392876e+00 9.520658609018688878e+00 7.768675038786960307e+00
9.367131225071171130e+00 4.978059793451420134e+00 6.106226873930658883e+00 9.974271605284990017e+00 7.960745575788394035e+00 8.868582570019645672e+00 5.791690433003901184e+00
8.128905572626008436e+00 7.167607329473394628e+00 5.835257475205215982e+00 8.678420550494855945e+00 8.681460821096830927e+00 9.569373742332297539e+00 5.542303933745153621e+00
5.206442679713408239e+00 7.080040195815706205e+00 6.252796079142784791e+00 6.591990839924459777e+00 8.836510583352389148e+00 8.206156367497356996e+00 4.312491512552712791e+00
9.885656802836699342e+00 8.868725880848971954e+00 4.144222179297519126e+00 7.585023057832986026e+00 8.905333266165900596e+00 9.135433676794415092e+00 4.710341073258650368e+00
9.717240229068121238e+00 7.280828109310983010e+00 7.132126734990251293e+00 9.748028496255344066e+00 9.330466171474235182e+00 8.029738104858413550e+00 5.722791034807044319e+00
9.589415226014853744e+00 6.870247564683558572e+00 8.624065911347804203e+00 6.920489230480470155e+00 9.878258951862125770e+00 7.808321971573786158e+00 7.590302276628539069e+00
7.563037966262363021e+00 8.119059598907190534e+00 8.072467146645802671e+00 5.196511620636561801e+00 9.233617554179017972e+00 6.691680949430954151e+00 8.441901841159658915e+00
6.267413423608347856e+00 7.146659689202248700e+00 8.861910853539779254e+00 5.178455823069836761e+00 9.304088350505635319e+00 6.318557333651319219e+00 7.377671732638026114e+00
7.161520180446875550e+00 8.261673504446886085e+00 6.903191906434098080e+00 5.370462118914898220e+00 9.354577960283354088e+00 6.625365803655197006e+00 6.260330517139734319e+00
9.261077023194971503e+00 7.535567224199370528e+00 9.085822151596126162e+00 7.459647105221834273e+00 8.626074581787454676e+00 9.262951681820476679e+00 5.919663761727226969e+00
9.563670014294558541e+00 7.209780884898604469e+00 6.904169730413671324e+00 9.783324512908674109e+00 7.801975152523409562e+00 4.373614800097310962e+00 8.051777972101476166e+00
9.897085337655768811e+00 7.745430134827553381e+00 9.123485271068412672e+00 8.710232943432238528e+00 9.932642804684608251e+00 9.285435107880955385e+00 5.096345915837397378e+00
9.323078203740974956e+00 7.807411128627939512e+00 4.808370292761920517e+00 8.286114114565698685e+00 9.134796430671016765e+00 8.040472151814233470e+00 8.290346654745571087e+00
8.544047609278507593e+00 8.230917925073086394e+00 6.030509645320186074e+00 6.130281432126838403e+00 8.957012408349605437e+00 8.853399921243520154e+00 9.017744742616965681e+00
9.690967717459457731e+00 7.376201011980572098e+00 8.793866192822573424e+00 5.299824624013163010e+00 9.829949896795739051e+00 9.179295792135521381e+00 7.105842099111017163e+00
9.256290947045320294e+00 8.226575733438345139e+00 8.914898494554323705e+00 5.792108516488333692e+00 9.765276468875669025e+00 9.758025614425505978e+00 9.182269193620228975e+00
9.439812172943350177e+00 9.883148189999717559e+00 6.531140809635053834e+00 5.874943290404611496e+00 9.006082162085393250e+00 9.842591594445979197e+00 6.687133568019033802e+00
9.514330209634451307e+00 8.195856071989869207e+00 8.762403230163032575e+00 6.437550359168636049e+00 9.954707778394208617e+00 7.091562063882991929e+00 7.763434961899623232e+00
8.361238539386627977e+00 7.833383635157678881e+00 6.411964802865699475e+00 6.184346694636586150e+00 9.085529250053033579e+00 9.627309985135056536e+00 9.640002353302758564e+00
9.001162338608240887e+00 8.125605745006437175e+00 5.530162141081274463e+00 8.597183746693042750e+00 9.949428704886841501e+00 3.971480762476194304e+00 9.599155929764632944e+00
9.778222727923383317e+00 9.507055561687881351e+00 8.034232892292077821e+00 6.628373126763855261e+00 9.818108680615432959e+00 5.476557655639627598e+00 8.764924361952216358e+00
9.796560134502158235e+00 9.761323909121172093e+00 7.595947579050606357e+00 7.132445404404847977e+00 9.919090717516144906e+00 4.923639728171245622e+00 8.736581650363749674e+00
6.734563674388341248e+00 7.180964981616485332e+00 7.262895145366242033e+00 6.271390678436811861e+00 9.701337512819076636e+00 6.741862497657730380e+00 9.323327013790764894e+00
8.921384957088971390e+00 7.376328561354321245e+00 9.432376736206128598e+00 8.673173220060512278e+00 9.535413413391950144e+00 7.501961437912361141e+00 9.446857905358688967e+00
9.809946811822339185e+00 7.480900212428139184e+00 5.683954603983625731e+00 8.043547932075602702e+00 9.871579147095793871e+00 5.942470194864222677e+00 8.339412935503634827e+00
7.461109088344722196e+00 9.190851394016057441e+00 5.876882310291192013e+00 5.205000214578318740e+00 9.823768366158647680e+00 8.089469063921360004e+00 6.596632453283121755e+00
9.341332613543780639e+00 9.506955737601186840e+00 8.888841127280260324e+00 3.445646498681151915e+00 7.355343643233604567e+00 8.287946164657185477e+00 6.051264428162490994e+00
9.986875408271664867e+00 5.357473785863196447e+00 7.821431970756104413e+00 9.108665765494494693e+00 6.144946817014538709e+00 7.551808813456294622e+00 6.778968386898833742e+00
9.354500091407761175e+00 9.523564191357113629e+00 6.303877251581061714e+00 9.528421693369969248e+00 9.345119391333183145e+00 7.467234106496343671e+00 7.510107512461948076e+00
9.433334870462839916e+00 9.674056273775214265e+00 5.814329798543608874e+00 9.802574353587971245e+00 9.228925475465445061e+00 9.910408340988961839e+00 7.243968146111940065e+00
8.438112819660336328e+00 9.944814154652107163e+00 9.093099236577593558e+00 8.899334479483117732e+00 9.290616658737191003e+00 8.308489507602978108e+00 8.120113698969413818e+00
8.281666101181262007e+00 8.224564855883716774e+00 6.089135398226465767e+00 7.356657416899517798e+00 7.516119731262778103e+00 9.550369789679507448e+00 9.110633892511444287e+00
8.000577786425195015e+00 9.261112776436350558e+00 5.051479458527814437e+00 8.793641165716570285e+00 7.816905955542198470e+00 7.338329873764717348e+00 8.039049245447722924e+00
