log.prior	log.likelihood	log.likelihood.test.set
-1.184382438465034966e+03 -3.733053156254399028e+02 -1.700588509714060592e+01
-1.177867210101156616e+03 -3.733704975752560813e+02 -1.692338136263271053e+01
-1.179169284641531476e+03 -3.733244602611641767e+02 -1.679162208737272977e+01
-1.180593074971662190e+03 -3.722387832684769364e+02 -1.674842119026106957e+01
-1.191080895979881689e+03 -3.717981832516661029e+02 -1.707191332450875620e+01
-1.199266226402947041e+03 -3.701584549982067642e+02 -1.712314299962579867e+01
-1.199946308999974690e+03 -3.713490166312454903e+02 -1.691569455586144954e+01
-1.202537702215973923e+03 -3.726898138279408386e+02 -1.709094412974593524e+01
-1.205389791790520803e+03 -3.743610045930992669e+02 -1.691624207745124409e+01
-1.202395560556604551e+03 -3.765464413622165694e+02 -1.660625846818297191e+01
-1.213859478566269445e+03 -3.773042548650145136e+02 -1.714627427355137002e+01
-1.202797663053630458e+03 -3.763812890217059817e+02 -1.725463732715832066e+01
-1.187948024322173978e+03 -3.764741665061510503e+02 -1.711239895999409555e+01
-1.188882616759441134e+03 -3.774403008307778009e+02 -1.611287240541059873e+01
-1.198964473261556577e+03 -3.777779592802463071e+02 -1.648766142834671200e+01
-1.206033424566312988e+03 -3.761358280253207340e+02 -1.506804884101040898e+01
-1.189133080029142775e+03 -3.725198596621031015e+02 -1.539056630877601606e+01
-1.204143676623119518e+03 -3.734591994247167008e+02 -1.514569988862595551e+01
-1.201001619281380044e+03 -3.724873105836340983e+02 -1.501399161339833199e+01
-1.196695652204973612e+03 -3.755016760788608963e+02 -1.529805594109549816e+01
-1.221805176262571877e+03 -3.771694988453883752e+02 -1.545894889667812322e+01
-1.231257097420430227e+03 -3.776108573039439307e+02 -1.599496720355770663e+01
-1.223750679690799643e+03 -3.771317200825101281e+02 -1.591770109834902769e+01
-1.224143814956771166e+03 -3.808634991952752671e+02 -1.564851985748413199e+01
-1.243450895212600926e+03 -3.796782380983335088e+02 -1.582965139095324503e+01
-1.242294824580715613e+03 -3.808568752739416823e+02 -1.594243154023047282e+01
-1.253066704355419006e+03 -3.803483202191800387e+02 -1.551498851568243253e+01
-1.249077801991285014e+03 -3.792832959525063643e+02 -1.557813524964439011e+01
-1.245577037667384957e+03 -3.807385590345292030e+02 -1.588306426357672763e+01
-1.246661112166395014e+03 -3.798426977374419380e+02 -1.586574330043578129e+01
-1.234432561092520928e+03 -3.800598821405359331e+02 -1.574266756188768568e+01
-1.237366285611289868e+03 -3.768165186661307189e+02 -1.560151375800279538e+01
-1.224095618738457460e+03 -3.752281752495204046e+02 -1.550206684610637353e+01
-1.221282331016067246e+03 -3.741723886092802331e+02 -1.522488554834947649e+01
-1.213676671612806331e+03 -3.739248063019232404e+02 -1.507378169949870994e+01
-1.213871661723578427e+03 -3.720691222719891584e+02 -1.528361197171827257e+01
-1.229426835961091683e+03 -3.700265288154738528e+02 -1.507999389483813957e+01
-1.227565090210374819e+03 -3.717626660391294990e+02 -1.522827202070584462e+01
-1.207103902350914268e+03 -3.736078799834314168e+02 -1.525091436053816096e+01
-1.202482360176821658e+03 -3.718403806326498398e+02 -1.566781197514464452e+01
-1.208060310667588737e+03 -3.705551719901686170e+02 -1.563331883483834872e+01
-1.208731324310316040e+03 -3.729510548556517051e+02 -1.555734892788103707e+01
-1.210477704837309830e+03 -3.713112337865479731e+02 -1.658815062954127484e+01
