word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
9.874211122254827444e+00 9.522556596567023135e+00 6.834157756707602616e+00 9.519283544988471846e+00 8.292756119769215672e+00 7.654782003275406588e+00
9.605562867280998063e+00 5.631091021612870229e+00 6.185907506910016451e+00 8.913218384076500911e+00 9.904247083034253052e+00 7.042063907776039855e+00
9.478967896739046495e+00 6.750363668893188063e+00 6.726433843264967294e+00 8.635652415187522024e+00 9.995012340441080667e+00 8.071117169158974036e+00
7.782561454701579784e+00 9.458096256038148297e+00 9.537009715986622282e+00 8.917864106962785087e+00 8.817662640948174868e+00 7.700242307787068086e+00
4.871394074097551652e+00 7.137076820579751235e+00 7.006509476501982192e+00 7.611086272858923252e+00 7.889789631285609062e+00 8.441207544687326703e+00
6.103049982872516210e+00 9.800621615456485358e+00 5.539852663856811077e+00 7.390509586816087051e+00 5.360733914881270046e+00 7.445135730142505182e+00
9.820368409643036145e+00 8.750347061498271017e+00 8.683826494861897061e+00 8.695504868722057523e+00 8.260886377122156787e+00 8.221693515591079304e+00
5.835810388894298484e+00 9.617969501394785681e+00 9.233582676046983906e+00 7.220756182811767232e+00 7.782295252454641599e+00 6.792448696235059202e+00
7.336770536041343327e+00 8.149650118793173803e+00 9.043309029961582368e+00 7.831293778913623882e+00 7.066249472650364183e+00 8.244559209029349134e+00
7.994574891208518608e+00 9.643435119547886458e+00 6.012159973745311525e+00 9.605703610585024421e+00 9.192925023258858630e+00 6.634686677782875464e+00
9.079877857952361353e+00 8.431522726727015637e+00 9.849956020384654565e+00 9.234691182466711723e+00 9.775408951009289638e+00 8.124978099148471244e+00
9.377859444884736106e+00 9.651169548339343152e+00 6.849348346038015123e+00 9.439533702269894633e+00 9.461026756967372719e+00 6.704882464909546869e+00
7.258541387719679605e+00 9.336396668156117684e+00 9.515588373697942970e+00 7.938819882989956334e+00 9.798132295940140679e+00 9.027200380235953503e+00
6.401759772830234674e+00 6.770801182359643455e+00 8.787191846821459151e+00 9.089330110778728766e+00 9.688204957813468354e+00 8.434539662337817489e+00
6.165192028861776308e+00 7.871679032804249410e+00 8.503532476862014633e+00 9.983155384836035040e+00 9.902163386277264223e+00 9.466894033870245195e+00
8.813401359006364899e+00 9.430125926843683004e+00 8.606744796757226368e+00 9.056540759250250261e+00 8.921116071503689682e+00 6.997145941133831037e+00
7.946515795915295222e+00 6.843326709061788193e+00 9.581000684989621874e+00 7.970171951256810772e+00 8.110369468357655265e+00 9.278168377101787101e+00
6.445001787256964931e+00 5.372240286802994369e+00 4.202799459369264135e+00 6.587412905034694788e+00 8.639920509906360735e+00 8.701887858448788649e+00
7.131859651317264515e+00 6.522402026283124599e+00 4.248999831949531014e+00 8.630823400390374545e+00 9.190767749982297730e+00 7.223036833118483990e+00
4.188150627337117626e+00 5.734204893184343454e+00 6.465976461773967898e+00 9.626667354685995548e+00 8.859052947124284927e+00 9.597384240234751118e+00
