influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		
0.000000000000000000e+00 1.088622256029844922e-02 2.371655930003463341e-13 2.848766294031147339e+00 6.785963776782363475e-05 4.209873596258081792e-09 1.377417748928213420e-03 0.000000000000000000e+00 1.742598505795311893e-16 3.256601344375465446e-01 3.182555696628958360e-12 3.170444188511577135e-03 2.011931902502375090e-09 2.707108105755250627e+00 0.000000000000000000e+00 2.866646471253422868e-02 1.025153605164451420e+00 4.719892595102978206e+00 1.460458360642390672e-02 2.200240499812355921e-01 1.507021679907794545e-05 0.000000000000000000e+00 4.224888430772217019e-19 1.284271933480383154e+00 3.594470002604652215e-02 1.501377498056217508e-01 1.574956932080798196e-13 3.132610401049181793e-03 0.000000000000000000e+00 8.111329086773768182e+00 2.723044135907136276e-08 1.112624199930714646e-07 4.543468716506886425e-05 4.098123870672465974e-01 7.727222417413599652e-19 0.000000000000000000e+00
0.000000000000000000e+00 7.932026897662192849e-03 4.569940793409154500e-14 6.380901184137435678e+00 9.016922240730150247e-05 3.985364064288339907e-09 8.054757834774658315e-03 0.000000000000000000e+00 1.704151214271924644e-16 5.409432344160085560e-01 2.287402970755287778e-12 5.420431063945508471e-03 1.802373359890936988e-09 3.403557699572647532e+00 0.000000000000000000e+00 3.170401753055379079e-01 1.813982469740504644e-01 4.747080217446454142e+00 3.199255917306683544e-02 7.014318500346645724e-01 3.320741548036235661e-05 0.000000000000000000e+00 2.220517971625553220e-19 8.110166826648717020e-01 2.227663038852170565e-03 1.889317888299188730e-01 4.940029504500444162e-13 6.123205228258688480e-03 0.000000000000000000e+00 5.813380492651948117e+00 1.239080778735563264e-08 5.390403061301412519e-07 8.575482541670317711e-06 2.423251413936526322e-01 5.663576029072994898e-19 0.000000000000000000e+00
0.000000000000000000e+00 6.172156189457432204e-03 3.985204872582782730e-15 7.925147025420019808e+00 5.020137988419293254e-05 3.369046648330985922e-09 1.515717609828641120e-03 0.000000000000000000e+00 2.365017517700483451e-15 4.753851969543058664e-01 4.143097261397360086e-13 4.103765355530552585e-03 2.017627918017970231e-09 2.392656739132910992e+00 0.000000000000000000e+00 2.232435844295856064e+00 1.154522468215552627e-01 3.024422850105501492e+00 4.348837599545460342e-02 8.453547878064709975e-01 3.442290318791319572e-05 0.000000000000000000e+00 1.318068345846028163e-19 5.099025953013952561e-01 3.252634500416680223e-03 4.874939370251566984e-01 5.036870358549691479e-13 1.047794826722714748e-02 0.000000000000000000e+00 2.720818530853732486e+00 1.545262507267199809e-08 2.552830715644054918e-07 1.092719376244833728e-05 1.727551628164407660e+00 8.436023663737767065e-20 0.000000000000000000e+00
0.000000000000000000e+00 7.290944303383468245e-03 3.027377803799481399e-15 5.397217770116024660e+00 1.741381265967782997e-05 8.064953811718111791e-09 3.622378899622850056e-03 0.000000000000000000e+00 1.338492238721869668e-14 1.445135493368512325e-01 6.872166877531099774e-13 1.684773788846407466e-02 2.671224438009546745e-09 2.797447241308232524e+00 0.000000000000000000e+00 8.004031535921669160e+00 1.394553789758780013e-02 4.081300645333935329e+00 6.967132663969645423e-02 6.177146171856644497e-01 3.737925448114665452e-05 0.000000000000000000e+00 1.562126742657666042e-19 1.102593088152922646e-01 4.576822253589963294e-04 2.980161434469206228e+00 7.659318749812127621e-13 6.827225961356245265e-02 0.000000000000000000e+00 9.903122389278646409e+00 3.762746786927833864e-09 8.339090361975168117e-08 4.044428377220452714e-06 5.339346348952125787e+00 3.189177166939768207e-19 0.000000000000000000e+00
0.000000000000000000e+00 1.091355051513320535e-03 2.489974644667464029e-15 5.167995522627061078e+00 2.568022974266198239e-05 5.525812198841394923e-08 1.254940983088347669e-03 0.000000000000000000e+00 2.373585911850438842e-15 4.313825062259442067e-01 6.656461250978441782e-13 1.396175522983130468e-01 2.428251175358878231e-09 3.946375887342257194e-02 0.000000000000000000e+00 3.591072041005479054e+00 2.668407967282816415e-02 4.161306329592569853e+00 1.778873981627885903e-01 1.161516155534791039e+00 7.581933523773642903e-05 0.000000000000000000e+00 2.664547577805667682e-19 2.221388402460861694e-02 1.729018177436175276e-05 6.281750097979976744e+00 1.727030674865495857e-12 1.784011357389090890e-01 0.000000000000000000e+00 9.358674586022473818e+00 6.069966311778877324e-09 5.093533807270410791e-08 4.602626001048667516e-06 6.775357858141068945e+00 2.447964368076875473e-19 0.000000000000000000e+00
0.000000000000000000e+00 9.407276134315059298e-04 7.170569601707824847e-16 2.777972182671262225e-01 1.243336248886304195e-03 2.905276179647761911e-08 7.180089197445052888e-04 0.000000000000000000e+00 2.632496716151345134e-15 3.020225554508061960e-01 1.747823308106909311e-13 1.141756680521496398e-01 6.806009486524638971e-11 1.687104837170353561e-02 0.000000000000000000e+00 1.370987380057785421e+00 2.897525898477401607e-02 4.217012723210890712e+00 1.827486852930571559e-01 4.548044115890741979e-01 1.730026123563998077e-04 0.000000000000000000e+00 4.599838783670788942e-20 1.932499665308568676e-02 8.052245403316162900e-06 4.609978725764496410e-01 5.064645844517626089e-12 1.902956608210705225e-01 0.000000000000000000e+00 9.947209336409551739e+00 9.201360782496931035e-09 2.407352781639442467e-08 1.934950892693233210e-05 6.438178098903784452e+00 1.854000779898301947e-17 0.000000000000000000e+00
0.000000000000000000e+00 1.791462088409518651e-04 1.072416022136332861e-15 6.701878284604867453e-01 1.338871823871174566e-03 1.352461288378678721e-07 6.660510467059371558e-04 0.000000000000000000e+00 7.650774224247282436e-16 1.581217407123829688e-01 3.482842039638891857e-13 2.822924817425918054e-01 1.707450463836306532e-10 3.249699055645703660e-02 0.000000000000000000e+00 4.171649317540294000e+00 2.422380544803674762e-02 2.099342404627800640e+00 1.229405155374413555e-01 8.020482193322977515e-01 1.476855708682775828e-04 0.000000000000000000e+00 1.067553240097509319e-20 6.273848589597142755e+00 1.768306881638894790e-05 2.630801256620969933e-02 7.387454319674366923e-12 1.843206507009922251e-02 0.000000000000000000e+00 7.255777956009818119e+00 1.203470700449168913e-08 2.221984324485455967e-08 9.665561498790820595e-06 5.333122573590120652e+00 3.800349748712964662e-18 0.000000000000000000e+00
0.000000000000000000e+00 6.023661102415746706e-04 6.315454169771306798e-16 1.263723847182685045e+00 3.818660760233280604e-04 1.213488096850023103e-06 6.930922127187773502e-04 0.000000000000000000e+00 2.211794952164665770e-15 1.881194297166777565e-02 1.181825760780432316e-13 1.950926674269110872e-01 4.038156214844656551e-10 4.456650897514696785e-02 0.000000000000000000e+00 4.986709471784507741e+00 1.457453526251923379e-03 3.078227782594739059e-01 6.001760458902572620e-02 6.805144181072403375e-01 8.056241061273217846e-04 0.000000000000000000e+00 1.560246531277218046e-20 6.812545744280334326e+00 1.258599752072607725e-06 1.876502210417946986e-02 3.161385047159820126e-12 8.869163392405385316e-02 0.000000000000000000e+00 2.009017857271958363e+00 1.454538816689271989e-08 1.949024958822185928e-08 1.137737797764881343e-05 5.282320339024837885e+00 2.968020365263933587e-18 0.000000000000000000e+00
0.000000000000000000e+00 9.766873389407283300e-05 2.699584697385466291e-16 6.632628089621983580e-01 8.650940539943599355e-04 5.225366167343872259e-07 1.577165292002508058e-03 0.000000000000000000e+00 3.204131142419184803e-15 1.847783485906977392e-03 5.643549473151849951e-14 1.675880006733656558e-01 1.722986485134268804e-09 2.245795682118807701e-02 0.000000000000000000e+00 2.141515746969325118e+00 3.655923794440463660e-04 1.699951250439340811e+00 1.741744033234548517e-01 8.783994842383436863e-01 1.166557515428071607e-05 0.000000000000000000e+00 4.457673748566606377e-20 3.082658790425640838e+00 1.932532616233306617e-06 3.563995532123869631e-03 7.608864855583579930e-13 5.522843003180326338e-02 0.000000000000000000e+00 1.995271474259052269e+00 2.953795315736772450e-10 1.097828756531454820e-08 6.013753574219376222e-05 7.784026490083414629e+00 1.559993793879529416e-18 0.000000000000000000e+00
0.000000000000000000e+00 1.750988589700508999e-04 7.474242546746428223e-17 8.245438639908045722e-03 8.634042455764697659e-04 5.535306041469783495e-07 1.141495395317377107e-03 0.000000000000000000e+00 2.881208418490747787e-15 6.498175938742465621e-04 2.740086604167992406e-14 7.323986086497256132e-01 3.995308440147734880e-09 4.271210172749847524e-03 0.000000000000000000e+00 3.063418188977033996e+00 3.231914366359801556e-04 4.378628065621764653e-01 7.874881311408245266e-02 1.248634747084440333e+00 1.489303916723751720e-05 0.000000000000000000e+00 2.468216667382861403e-20 2.535511606179518651e+00 1.434325514151199179e-06 7.736820519918829499e-03 1.941219399587392503e-14 7.687582385503176352e-02 0.000000000000000000e+00 1.970633545814018728e+00 1.321305333536494710e-07 1.389715479824695449e-08 8.796806188289483036e-06 8.023101305959720264e+00 2.935846390297467703e-19 0.000000000000000000e+00
