word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
7.528782771333432322e+00 7.008173077012596508e+00 9.159802973906725043e+00 9.890408136552132135e+00 5.377333977057381809e+00 8.257208240345349282e+00 8.976957696954922739e+00 9.159697758134036860e+00 7.661451247012648125e+00 9.443776374611097424e+00
8.000118815177813758e+00 8.791296771936384147e+00 7.635961433773616136e+00 8.173082950141999703e+00 6.683280996545707175e+00 5.449387866222011212e+00 9.694060158689600470e+00 7.162650726792602285e+00 9.760920563397251115e+00 9.728388850297104540e+00
6.440450874629268796e+00 8.251001049492117545e+00 9.341807505754873731e+00 9.573744390698994522e+00 8.125836440291015705e+00 5.678579266291158945e+00 9.200442352538400925e+00 7.908348596040033485e+00 6.415205711880314077e+00 9.938388333973144029e+00
8.076062304761329358e+00 7.920411356305558037e+00 9.771606427373168202e+00 7.219610980273698075e+00 8.554607636875623200e+00 9.303918171584280472e+00 9.836047037419328731e+00 7.785890879995454483e+00 6.545090467764567599e+00 9.592317476888844396e+00
7.162919640676761901e+00 8.851240354771341856e+00 9.854375680499776635e+00 8.982110467921302188e+00 9.761230763766631569e+00 7.980610030847651082e+00 8.703595731563591897e+00 9.657006710625928747e+00 6.528163780474169897e+00 8.628877693941314320e+00
7.840888259511567426e+00 8.814085950643100631e+00 8.358609462224924513e+00 6.534000663373856987e+00 8.817890820667203755e+00 7.963690386861184578e+00 8.922954883075849608e+00 5.576360859915269863e+00 7.291344740433226335e+00 8.390464774578829221e+00
7.570314181869126635e+00 9.287993719211291577e+00 9.725762731880642775e+00 6.699142253884081910e+00 8.642315563792312361e+00 5.671286330411894561e+00 7.986755676565788775e+00 9.937968837000802580e+00 6.780748581179611989e+00 7.697874807054594370e+00
7.947891494602412621e+00 7.879000953574260002e+00 9.596124850577369969e+00 7.516625071643506573e+00 8.996193974665796844e+00 8.238769964268900736e+00 9.086637683675553134e+00 9.125441401127051932e+00 8.859643273279431241e+00 7.784234749290671829e+00
9.845944170356640157e+00 9.391241872952527103e+00 8.867679662833563015e+00 9.429892471246084540e+00 6.878315737748502023e+00 7.738967975325786064e+00 8.237272495961196483e+00 7.882284606679469618e+00 9.113598308244519330e+00 9.248756915332526418e+00
8.223990997210576026e+00 8.524909993187756996e+00 9.517353079543834582e+00 5.026171898236984070e+00 8.179611273666875348e+00 6.184322792194435259e+00 7.828004461485540411e+00 9.380718184814513805e+00 6.554510430092419071e+00 6.783324492256644689e+00
8.210587013034297499e+00 8.154911866322136049e+00 7.660322813879522741e+00 9.773462504763894998e+00 7.696129589318840836e+00 9.065620096065055478e+00 6.453429220998948779e+00 9.010161643344368088e+00 8.555174456493830348e+00 7.870441069520206945e+00
8.636655517659278303e+00 9.149995116038374121e+00 5.465481814959000317e+00 7.445030320168886107e+00 7.701268361180739319e+00 5.774004626136512996e+00 5.970204365789115286e+00 9.061548388902306073e+00 7.905678401394862220e+00 8.512877515790059135e+00
7.670279467194673906e+00 7.551461721776429492e+00 9.945701864047054030e+00 7.169636471029505742e+00 6.296902695987478538e+00 9.720596731670964274e+00 7.146022362133861883e+00 9.536160075272363201e+00 9.247320712405503684e+00 6.818247034139865548e+00
7.489479304173265461e+00 7.799591559597026880e+00 9.911657829686561172e+00 8.385492925426342836e+00 6.711948098868900203e+00 6.932710527944476731e+00 6.781484732291046313e+00 9.376441766607598538e+00 6.653769668928626757e+00 5.186761927658972482e+00
8.225529096757945524e+00 7.311596892561143868e+00 9.873519967127055708e+00 8.786770105580584911e+00 7.568002811195625235e+00 5.554004343476979244e+00 9.827606059186532406e+00 7.245388777520592072e+00 9.810036169304854781e+00 6.492796899856955406e+00
8.811987106551878668e+00 8.318013899113234189e+00 8.824094893823339447e+00 9.064955803549255009e+00 9.289050538477788166e+00 5.090988248130629223e+00 8.331108379581422696e+00 8.190406831917496078e+00 9.654770516281095283e+00 6.776050131400110033e+00
8.468342207780874986e+00 7.899316438990084066e+00 8.876366045312039432e+00 7.860633857207963260e+00 9.263047302137572103e+00 4.847212694625114615e+00 8.949368423432050079e+00 8.728745811537732990e+00 7.563517203437836400e+00 9.320585120633595011e+00
8.934736969953817720e+00 9.322890247313475598e+00 9.975214881503596587e+00 9.650376138227407807e+00 8.455260851401849465e+00 5.096866680598592048e+00 9.828461594293191439e+00 9.653052686750513089e+00 8.625619568128019665e+00 9.620924934868700262e+00
8.880180813512247084e+00 9.289131695621378526e+00 9.289230601428691614e+00 6.058836308247653513e+00 9.219990379873184594e+00 6.360102146321942485e+00 9.350808304682963978e+00 9.638953088488950272e+00 9.120061635040865866e+00 9.248876765510518183e+00
7.357357842173223084e+00 7.363149118494601630e+00 9.555604145028302909e+00 8.928464342778074325e+00 8.459345054300282385e+00 8.908799761689534691e+00 7.959458181028690404e+00 9.642979668040382535e+00 5.945981545917483402e+00 9.668070956113499648e+00
