log.prior	log.likelihood	log.likelihood.test.set
-1.858298044518851384e+03 -1.167154714512671944e+03 -1.136203114372815435e+02
-1.847751049340610052e+03 -1.160315489920095843e+03 -1.155366324207770106e+02
-1.850164846421032280e+03 -1.165245803374070420e+03 -1.161825524169642563e+02
-1.849201188823993107e+03 -1.162377289719933742e+03 -1.152659550255766590e+02
-1.839417625753974107e+03 -1.161088757664591412e+03 -1.121434622756443389e+02
-1.830324596717802024e+03 -1.159174423333692175e+03 -1.135365664543168407e+02
-1.815226803951953343e+03 -1.158791080380664425e+03 -1.142879604645548284e+02
-1.830547903936770581e+03 -1.160060810605059032e+03 -1.154408934843200143e+02
-1.829973604184539454e+03 -1.159533607876847327e+03 -1.145140060038228569e+02
-1.825211511739801608e+03 -1.157835056319508567e+03 -1.152179111083648877e+02
-1.827693968643682183e+03 -1.155115572985779636e+03 -1.161717488542630292e+02
-1.846695230935383279e+03 -1.155343054271687151e+03 -1.166023638302809786e+02
-1.854772401238962857e+03 -1.155858167478204905e+03 -1.168300119821954013e+02
-1.841735331595715024e+03 -1.158145811668212673e+03 -1.185062049878760888e+02
-1.871392537731572929e+03 -1.153115938024503066e+03 -1.189288262086377870e+02
-1.867247655470085419e+03 -1.155841626857998108e+03 -1.191868917547641900e+02
-1.853922243745082824e+03 -1.151405360225676304e+03 -1.196047650300729970e+02
-1.844273510363453624e+03 -1.154195447077703193e+03 -1.191415166451286041e+02
-1.826256161671758036e+03 -1.157580641991872426e+03 -1.183591861376413874e+02
-1.830073318400355902e+03 -1.159436645541672533e+03 -1.189982988400500119e+02
-1.843317220678546846e+03 -1.162827278078140807e+03 -1.182621540145497079e+02
-1.835343087030747256e+03 -1.160679360858741347e+03 -1.183690230188358328e+02
-1.843688781924701743e+03 -1.155824440417794222e+03 -1.175176328378672679e+02
-1.847502259042938249e+03 -1.153985853965799834e+03 -1.162775192968072417e+02
-1.843664097465978330e+03 -1.152413874430149463e+03 -1.151006164009918393e+02
-1.831613777705772009e+03 -1.154386475514196263e+03 -1.150364524710374212e+02
-1.814431480051600374e+03 -1.154057125209510559e+03 -1.153875134612232500e+02
-1.827921148224807666e+03 -1.151822878587557398e+03 -1.132303106961705055e+02
-1.836521308895422862e+03 -1.155015225377019533e+03 -1.136620291238592415e+02
-1.819832797673676851e+03 -1.158465553352102233e+03 -1.138408083399104669e+02
-1.824218292390756460e+03 -1.161078053140947759e+03 -1.131897946354497435e+02
-1.803048062480294902e+03 -1.161359690241955150e+03 -1.143048649290428784e+02
-1.813798343054527322e+03 -1.162672819387069012e+03 -1.150810676893294158e+02
-1.804463442833543240e+03 -1.160334625643702566e+03 -1.150128825652163869e+02
-1.789371865553955786e+03 -1.159109201680740398e+03 -1.150401292415400576e+02
-1.782058715789039297e+03 -1.165321416265765947e+03 -1.156427255442356454e+02
-1.775501625298511044e+03 -1.161050832870180102e+03 -1.144627656061711605e+02
-1.795531715601227916e+03 -1.163672734827191789e+03 -1.149093484647828518e+02
-1.781061575731947869e+03 -1.161018587723433484e+03 -1.144572240484375527e+02
