time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
1.050832154373501339e+02 9.750080662720995406e+01 9.971482115768338872e+01 1.115308925288763078e+02 9.430110758587818509e+01 1.070529403189402444e+02 1.143542400510743846e+02 9.814340933641507547e+01 9.589748644890204332e+01 9.192616452374025471e+01
8.911255646542387865e+01 9.475108827588296379e+01 1.041871249501914747e+02 8.999948639137576833e+01 9.499245155206624247e+01 8.745553158351381740e+01 1.012119313547083124e+02 1.013967310257560825e+02 9.790316496468564367e+01 1.180714292957838722e+02
8.926335398508953745e+01 9.694818051839601480e+01 9.323444991321557040e+01 8.521140479257638845e+01 9.128678882001153738e+01 1.018954258019013253e+02 9.816878403832805589e+01 9.059627355302242790e+01 9.274723725411197961e+01 8.161599127878876914e+01
1.253851454890127002e+02 1.015738413693771349e+02 8.213884400809692465e+01 8.910995564231318156e+01 1.018421734574448863e+02 1.047176642865251068e+02 1.026708303993811882e+02 1.034000348260291275e+02 1.030172522279345344e+02 9.724025525099891354e+01
1.201202648324239135e+02 9.430407737302942905e+01 8.971850414559399667e+01 1.139941774331310285e+02 1.128263660375219786e+02 9.764111449469034199e+01 1.227109365696525174e+02 1.024823543984123120e+02 1.100949161464090054e+02 8.417858737972208871e+01
1.230894946057986772e+02 9.367902589930451995e+01 1.100640176589739099e+02 8.847707333959375831e+01 1.074477007916817684e+02 1.009428836437520971e+02 1.130083167949091205e+02 1.031235642931481920e+02 1.182061215854999148e+02 8.887264948897573902e+01
1.089352640786243853e+02 1.119873728582844024e+02 1.117792855243318968e+02 1.097949808291636487e+02 1.016888315576557176e+02 9.491605876156690158e+01 8.514124500077726054e+01 1.070965549549386822e+02 9.688386715459508025e+01 9.054331207249380498e+01
8.779063673746870222e+01 1.060274176088304614e+02 9.993360889716849726e+01 9.053078673486464822e+01 1.008571281242859357e+02 9.959668920991715879e+01 9.031811859608941973e+01 7.385853957241658918e+01 1.057764484191903307e+02 9.021182788690252607e+01
1.058527442417471605e+02 8.849410669541725838e+01 1.037039457274889571e+02 1.231979120011969115e+02 1.113192145931507753e+02 1.023157186140915655e+02 9.938654917752697315e+01 1.032891157441826238e+02 1.001281124558084628e+02 1.113620465397075634e+02
9.071140934268029810e+01 1.079805982208243051e+02 9.259414735432380894e+01 8.315363512244135791e+01 8.500241828426712232e+01 8.493531508501548899e+01 1.051355703558354406e+02 1.024907340304971797e+02 1.019436730184311273e+02 9.480116024093334204e+01
9.969161809261075291e+01 9.604091925410853037e+01 9.405428379444987286e+01 1.160752355372607951e+02 1.083097088714935126e+02 1.118588923349560957e+02 8.468094972384866992e+01 1.120989648886013583e+02 1.075702137130190437e+02 1.164550276253894765e+02
1.004254581040688379e+02 9.569797660546667828e+01 1.033638482893150865e+02 9.927899021187060669e+01 1.106922850886608529e+02 8.699734905444333322e+01 1.042351478959021733e+02 1.239904234495563458e+02 9.339055471798164376e+01 8.687803848979694976e+01
9.769695917126060181e+01 7.555773897237457959e+01 9.842097377998874208e+01 1.001952620176142830e+02 1.076804131547376073e+02 1.062658185213380762e+02 1.080737990813221359e+02 1.167739200079288366e+02 9.081753052675634308e+01 8.670194011842845327e+01
9.921583621179324552e+01 1.106908225865016675e+02 9.978400964607922674e+01 1.094976568126957801e+02 8.987511850582052375e+01 8.655925037279335754e+01 1.145332982938579960e+02 1.172313823801796246e+02 8.322020039130612190e+01 9.255163537601208645e+01
9.624952313262436121e+01 1.014780434862495042e+02 1.065981123983365677e+02 9.755056555949595065e+01 1.069489704322974717e+02 1.132334430663436819e+02 1.182177789957770528e+02 9.072342493042103229e+01 8.337235947012487713e+01 1.154127706303590628e+02
9.942564176452066249e+01 9.773758776618358013e+01 1.066609591356526607e+02 1.053541291027906794e+02 8.858293647410816618e+01 1.053027809820495975e+02 9.403537093747492293e+01 9.599530641070909098e+01 7.797290624714557339e+01 1.165898109739330977e+02
9.702611894314057395e+01 1.035612989702632376e+02 9.573620322919093439e+01 9.604125948832034965e+01 7.479477735905078362e+01 1.049379405934308949e+02 9.357556265632365466e+01 9.418017859174547368e+01 1.163867418176687920e+02 1.101893603337252472e+02
